Rank,Stadium,Capacity,Region,Country,City,Image,Home_Team
1,Rungrado 1st of May Stadium,"114,000",East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/250px-Arirang_Mass_Games_12.JPG,"Korea DPR national football team, Korea DPR women's national football team, April 25"
2,Michigan Stadium,"107,601",North America,United States,"Ann Arbor, Michigan",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Real_Madrid_vs._Manchester_United_August_2nd%2C_2014.jpg/250px-Real_Madrid_vs._Manchester_United_August_2nd%2C_2014.jpg,Michigan Wolverines football
3,Ohio Stadium,"102,780",North America,United States,"Columbus, Ohio",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/250px-Panoramic_view_of_Ohio_Stadium.jpg,Ohio State Buckeyes football
4,Melbourne Cricket Ground,"100,024",Oceania,Australia,Melbourne,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/250px-MCG_Panorama_24_July_2015.jpg,"Australia national cricket team, Victoria cricket team, Melbourne Cricket Club, Melbourne Stars, Melbourne FC, Richmond FC, Collingwood FC, Hawthorn FC"
5,Camp Nou,"99,354",Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg/250px-Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg,FC Barcelona
6,FNB Stadium,"94,736",Africa,South Africa,Johannesburg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/250px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"South Africa national football team, Kaizer Chiefs"
7,New Administrative Capital Stadium,"93,940",Africa,Egypt,New Administrative Capital,,Egypt national football team
8,Rose Bowl (stadium),"92,800",North America,United States,"Pasadena, California",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/250px-Rose_Bowl%2C_panorama.jpg,UCLA Bruins
9,Cotton Bowl (stadium),"92,100",North America,United States,Dallas,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/250px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,Dallas Trinity FC
10,Wembley Stadium,"90,000",Europe,England,"London, England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/250px-Post_L2_Play-Off_Final.jpg,England national football team
11,Lusail Stadium,"88,966",West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/250px-Lusail_Stadium.jpg,Qatar national football team
12,Estadio Azteca,"87,523",North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/250px-Panor%C3%A1mica_esquina_noreste.jpg,"Club América, Cruz Azul, Mexico national football team"
13,Bukit Jalil National Stadium,"87,411",Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/250px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,Malaysia national football team[13]
14,Borg El Arab Stadium,"86,000",Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/250px-Borg_el_arab_stadium.jpg,"Egypt national football team, Al Ittihad, Smouha"
15,Santiago Bernabéu Stadium,"85,000",Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg/250px-Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg,Real Madrid
16,Estadio Monumental Antonio Vespucio Liberti,"84,567",South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Estadio_Monumental.jpg/250px-Estadio_Monumental.jpg,"Argentina national football team, River Plate"
17,Stadium Australia,"83,500",Oceania,Australia,Sydney,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/State_of_Origin_Game_II_2018.jpg/250px-State_of_Origin_Game_II_2018.jpg,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team"
